id,date,source_type,entries_count,title,display_value,author,selling_agent,institution,whether_mss,medium,date_accessed,location_institution,location,link,comments,created_by,created_at,updated_by,updated_at
34633,1999,Auction/Sale Catalog,1,Contributor Test Source,1999 - Selling Agent Test - Contributor Test Source,,Selling Agent Test,"",Yes,internet,1999,,,,,contribute,"May 18, 2016 10:24",contribute,"May 20, 2016 10:24"
34608,1985-01-22,Auction/Sale Catalog,0,Test Source,1985-01-22 - Test Source,,"","",,,,,,,,hellerb,"March 11, 2016 11:18",hellerb,"March 11, 2016 11:18"
34605,1977,Auction/Sale Catalog,0,Source Test,1977 - Source Test,,"","",,,,,,,,hellerb,"February 16, 2016 11:48",hellerb,"April 04, 2016 09:24"
34597,1977,Auction/Sale Catalog,0,Source Test,1977 - Source Test,,"","",,,,,,,,hellerb,"February 09, 2016 10:41",hellerb,"April 04, 2016 09:53"
34588,2008,Auction/Sale Catalog,1,"Tefaf-Fair 2008, Maastricht Highlights of Dr. Jorn Gunther Antiquariat Stand 246","2008 - Dr. Jorn Gunther - Tefaf-Fair 2008, Maastricht Highlights of Dr. Jorn Gunther Antiquariat Stand 246",,Dr. Jorn Gunther,"",Yes,private_collection,20151202,LJS,Schoenberg Institute for Manuscript Studies,,,mbudisin92,"December 02, 2015 16:51",mbudisin92,"December 02, 2015 16:55"
34379,2012,Auction/Sale Catalog,34,TextManuscripts 2: Before The King James Bible,2012 - Les Enluminures - TextManuscripts 2: Before The King James Bible,,Les Enluminures,"",Yes,,,"University of Pennsylvania, The Lawrence J. Schoenberg Catalogue Collection (Penn Print Coll. 28)","Philadelphia, PA,USA",,'author' field with value 'Sandra Hindman and Laura Light' in the legacy database could not be migrated into an appropriate field for this source type,aldevine,"February 24, 2015 10:46",aldevine,"March 04, 2015 12:03"
34377,2015-01-24,Auction/Sale Catalog,36,TextManuscripts 5: Women and the Book in the Middle Ages and Renaissance,2015-01-24 - Les Enluminures - TextManuscripts 5: Women and the Book in the Middle Ages and Renaissance,,Les Enluminures,"",Yes,,,,"",,,manuscript_database,"February 12, 2015 15:27",(none),""
34254,1860,Collection Catalog,1,"Catalogue Descriptif et Raisonne des Manuscrits de la Bibliotheque de Valenciennes [Paris, Techener (Jules Mangeart)]","1860 - Bibliotheque de Valenciennes - Catalogue Descriptif et Raisonne des Manuscrits de la Bibliotheque de Valenciennes [Paris, Techener (Jules Mangeart)]",,"",Bibliotheque de Valenciennes,Yes,,,,"",,,manuscript_database,"July 30, 2014 16:54",(none),""
34050,2014-01,Auction/Sale Catalog,6,Textmanuscripts,2014-01 - Les Enluminures - Textmanuscripts,,Les Enluminures,"",Yes,,,,"",,,manuscript_database,"January 28, 2014 20:22",(none),""
34044,2014-01,Auction/Sale Catalog,26,TextManuscripts 4: Sacred Song: Chanting the Bible in the Middle Ages and Renaissance,2014-01 - Les Enluminures - TextManuscripts 4: Sacred Song: Chanting the Bible in the Middle Ages and Renaissance,,Les Enluminures,"",Yes,,,"University of Pennsylvania, The Lawrence J. Schoenberg Catalogue Collection (Penn Print Coll. 28)","Philadelphia, PA,USA",,,manuscript_database,"January 23, 2014 13:06",aldevine,"February 17, 2015 12:54"
