id,public_id,name,entries_count,reviewed,created_by,created_at,updated_by,updated_at
283,SDBM_LNG_283,"German, Middle Franconian",2,false,(none),"",(none),""
282,SDBM_LNG_282,"German, Rhenish Franconian",2,false,(none),"",(none),""
274,SDBM_LNG_274,"German, Ripuarian",2,false,(none),"",(none),""
223,SDBM_LNG_223,"German, Middle Low",2,false,(none),"",(none),""
221,SDBM_LNG_221,"German, Saxon-Thuringian",1,false,(none),"",(none),""
219,SDBM_LNG_219,"German, Upper Saxon",1,false,(none),"",(none),""
217,SDBM_LNG_217,"German, Lower Saxon",2,false,(none),"",(none),""
216,SDBM_LNG_216,"German, Old High",2,false,(none),"",(none),""
204,SDBM_LNG_204,"German, Bavarian",5,false,(none),"",(none),""
203,SDBM_LNG_203,"German, Süddeutsch",1,false,(none),"",(none),""
202,SDBM_LNG_202,"German, Böhmisch",2,false,(none),"",(none),""
201,SDBM_LNG_201,"German, Oberschwäbisch",1,false,(none),"",(none),""
200,SDBM_LNG_200,"German, Obe",1,false,(none),"",(none),""
199,SDBM_LNG_199,"German, Bairisch-Schwäbisch",1,false,(none),"",(none),""
198,SDBM_LNG_198,"German, Ostfränkisch",1,false,(none),"",(none),""
197,SDBM_LNG_197,"German, Bairisch-Österreichisch",2,false,(none),"",(none),""
196,SDBM_LNG_196,"German, Ostschwäbisch",4,false,(none),"",(none),""
195,SDBM_LNG_195,"German, Mitteldeutsch-Nordböhmisch",1,false,(none),"",(none),""
194,SDBM_LNG_194,"German, Oberfränkisch",1,false,(none),"",(none),""
193,SDBM_LNG_193,"German, Nürnbergisch",2,false,(none),"",(none),""
192,SDBM_LNG_192,"German, Bairisch-Österr",6,false,(none),"",(none),""
191,SDBM_LNG_191,"German, Alemannisch",3,false,(none),"",(none),""
190,SDBM_LNG_190,"German, Alsatian",2,false,(none),"",(none),""
189,SDBM_LNG_189,"German, Fränkisch",2,false,(none),"",(none),""
186,SDBM_LNG_186,"German, Mitteldeutsch",2,false,(none),"",(none),""
185,SDBM_LNG_185,"German, Ostmitteldeutsch",2,false,(none),"",(none),""
184,SDBM_LNG_184,"German, Westbairisch",1,false,(none),"",(none),""
183,SDBM_LNG_183,"German, Mittelbairisch",14,false,(none),"",(none),""
182,SDBM_LNG_182,"German, Nordbairisch",4,false,(none),"",(none),""
181,SDBM_LNG_181,"German, Althochdeutsch",1,false,(none),"",(none),""
178,SDBM_LNG_178,"German, Bairisch",16,false,(none),"",(none),""
177,SDBM_LNG_177,"German, Mittelniederdeutsch",1,false,(none),"",(none),""
176,SDBM_LNG_176,"German, Ostfälisch",2,false,(none),"",(none),""
161,SDBM_LNG_161,"German, Upper Rhenish",2,false,(none),"",(none),""
160,SDBM_LNG_160,"German, Standard",1,false,(none),"",(none),""
146,SDBM_LNG_146,"German, Middle High",28,false,(none),"",(none),""
132,SDBM_LNG_132,"German, Lower Rhenish",3,false,(none),"",(none),""
128,SDBM_LNG_128,"German, Westphalian",3,false,(none),"",(none),""
118,SDBM_LNG_118,"German, Swabian",12,false,(none),"",(none),""
111,SDBM_LNG_111,"German, Niederdeutsch",23,false,(none),"",(none),""
101,SDBM_LNG_101,"German, Rhenish",1,false,(none),"",(none),""
43,SDBM_LNG_43,"German, Saxon",24,false,(none),"",(none),""
33,SDBM_LNG_33,"German, Old",13,false,(none),"",(none),""
32,SDBM_LNG_32,"German, Low",44,false,(none),"",(none),""
6,SDBM_LNG_6,German,4284,true,(none),"",(none),""
