id,name,viaf_id,comment,authors_count,artists_count,scribes_count,source_agents_count,sale_agents_count,provenance_count,is_artist,is_author,is_provenance_agent,is_scribe,reviewed,created_by,created_at,updated_by,updated_at
9999,Gay-Paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9998,Fumagalli-Rome,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9997,Orion-Scheveningen,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9996,La Haye,,,0,0,0,1,0,4,false,false,true,false,true,(none),"",(none),""
9995,Calcutta,138271792,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9994,Beccles,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9993,Glynn,79242554,,0,0,0,1,0,4,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9992,Deighton-Cambridge,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9991,Thorpe-London,,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),""
9990,dick's,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9989,d brown,20489878,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9988,Harvey-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9987,Tumbridge-Wells,,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),""
9986,Creech-Edinburgh,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9985,Berry & Co,143533220,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9984,Bell-Edinburgh,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9983,Traylen-Guildford,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9982,Heathcote & Senior,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9981,Beatriffe-Norway,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9980,"Ludlow,Daniell,Roberts",,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9979,DETAILLE,51712915,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9978,ader/picard/tajan,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
