Link,ID,Other Info
https://sdbm.library.upenn.edu/entries/52,52,Phillipps22947
https://sdbm.library.upenn.edu/entries/87,87,Phillipps23243; (Segre-Amar)87
https://sdbm.library.upenn.edu/entries/95,95,Phillipps2960
https://sdbm.library.upenn.edu/entries/123,123,Phillipps24463
https://sdbm.library.upenn.edu/entries/126,126,Phillipps446; Van Ess61
https://sdbm.library.upenn.edu/entries/139,139,Phillipps228
https://sdbm.library.upenn.edu/entries/148,148,Phillipps2290
https://sdbm.library.upenn.edu/entries/162,162,Phillipps301
https://sdbm.library.upenn.edu/entries/165,165,Phillipps5842
https://sdbm.library.upenn.edu/entries/166,166,Phillipps6052
https://sdbm.library.upenn.edu/entries/167,167,Phillipps6060
https://sdbm.library.upenn.edu/entries/172,172,Phillipps7317/7820
https://sdbm.library.upenn.edu/entries/219,219,Phillipps129
https://sdbm.library.upenn.edu/entries/226,226,Phillipps3085
https://sdbm.library.upenn.edu/entries/230,230,Phillipps3638
https://sdbm.library.upenn.edu/entries/239,239,Phillipps2179; Schoenberg101
https://sdbm.library.upenn.edu/entries/254,254,"Phillipps16253
MIGRATION_ISSUE: 'Secondary Source' field in the legacy database was 'De Ricci, vol. II, p. 1167, no. 28'"
https://sdbm.library.upenn.edu/entries/338,338,Phillipps24978
https://sdbm.library.upenn.edu/entries/345,345,Phillipps4265
https://sdbm.library.upenn.edu/entries/359,359,Phillipps24654; Schoenberg16
https://sdbm.library.upenn.edu/entries/365,365,Phillipps4563/10612
https://sdbm.library.upenn.edu/entries/382,382,Phillipps2824
https://sdbm.library.upenn.edu/entries/418,418,Phillipps4320
https://sdbm.library.upenn.edu/entries/493,493,Phillipps2947
https://sdbm.library.upenn.edu/entries/505,505,Phillipps11865
https://sdbm.library.upenn.edu/entries/565,565,Phillipps1940
https://sdbm.library.upenn.edu/entries/691,691,Phillipps935
https://sdbm.library.upenn.edu/entries/721,721,Phillipps4566
https://sdbm.library.upenn.edu/entries/725,725,Phillipps3353
https://sdbm.library.upenn.edu/entries/729,729,Phillipps2175
https://sdbm.library.upenn.edu/entries/732,732,Phillipps16281
https://sdbm.library.upenn.edu/entries/750,750,Phillipps3621
https://sdbm.library.upenn.edu/entries/798,798,"Phillipps16253
MIGRATION_ISSUE: 'Secondary Source' field in the legacy database was 'De Ricci, vol. II, p. 1167, no. 28'"
https://sdbm.library.upenn.edu/entries/801,801,Phillipps23240
https://sdbm.library.upenn.edu/entries/805,805,Phillipps32043/32105
https://sdbm.library.upenn.edu/entries/871,871,Phillipps14883
https://sdbm.library.upenn.edu/entries/911,911,Phillipps1312
https://sdbm.library.upenn.edu/entries/946,946,Phillipps12304; Abbey7351
https://sdbm.library.upenn.edu/entries/949,949,Phillipps3349; Abbey7352
https://sdbm.library.upenn.edu/entries/950,950,Phillipps864; Abbey7353
https://sdbm.library.upenn.edu/entries/951,951,Phillipps132; Abbey7397
https://sdbm.library.upenn.edu/entries/955,955,Phillipps887; Abbey6841
https://sdbm.library.upenn.edu/entries/982,982,Phillipps12278
https://sdbm.library.upenn.edu/entries/996,996,Phillipps9656
