"Edward I, King of England",13101431
"Caxton, William",68979076
"Paris, Matthew",34451801
"Grandison, John",16904434
"Frechulf, Bishop of Lisieux",88920027
"Glaber, Rodulfus",265926017
"Canute I, King of England",268401625
"William I, King of England",88049597
"Stephen, King of England",20930722
"John, King of England",36954467
"Alfred, King of England",10639246
"Alexander III, Pope",88956811
"Firmicus Maternus, Julius",10660698
"Peurbach, Georg von",61530142
"Skelton, John",29549101
"Innocent III, Pope",16017787
"Edward II, King of England",13557817
"Bramis, Joannes",30558700
"Langton, Walter",97987691
"Odilo, Saint, Abbot of Cluny",32352627
"Julianus, Saint, Bishop of Toledo",54299000
"Waldeby, John",224090554
"Wireker, Nigellus",36950880
"Egbert, Saint",193579739
"Netter, Thomas",147980
"Burchard, Bishop of Worms",111045814
"Langton, Stephen",7385506
"Jerome, Saint",95147024
"Odo, Saint, Archbishop of Canterbury",56928424
"Richard II, King of England",262479505
"Malverne, John",68566938
"Amalarius, Archbishop of Lyon",4911634
"Lanfranc, Archbishop of Canterbury",20472477
"Juvencus, Caius Vettius Aquilinus",56655396
"Foro-Juliensis, Titus Livius de",44738753
"Chaucer, Geoffrey",100185203
"Augustine, Saint, Bishop of Hippo",66806872
"Norwich Cathedral (Norwich, England)",151458696
"Hildegard, Saint",87772061
"Borough, John",17094049
"Horne, Andrew",42187611
"Breton, John le",231985778
"Petronius, Saint, Bishop of Bologna",31231838
"Adrian V, Pope",93573791
"Bernardus, Abbot of Monte Cassino",84589504
"Eusebius, Bishop of Emesa",267227527
"Neckam, Alexander",71420958
"Aelfric, Abbot of Eynsham",169463285
"Wulfstan, Archbishop of York",261470123
"Bury, Richard de",32352662
"Dioscurus, Patriarch of Alexandria",94707724
"Ferrandus, Fulgentius",191218401
"Baldwin, Archbishop of Canterbury",95219820
"Sylvester I, Pope",85181438
"Sylvester II, Pope",264422706
"Paschasius Radbertus, Saint",100184512
"Burchardus, Abbot of Bellevaux",192531067
"Arnaldus, Abbot of Bonneval",55444954
"Diceto, Ralph de",49321866
"Llull, Ramon",120696927
"Asser, John",59092589
Battle Abbey,128978416
"Rous, John",67768606
"Rishanger, William",14908928
University of Cambridge,153568718
"Bucer, Martin",2478527
"Gray, Thomas",9889965
"Charlemagne, Emperor",89643029
"Syon Abbey (Isleworth, London, England)",138242961
"Torquemada, Juan de",9948377
"Fordun, John of",78774389
"Egbert, Archbishop of Trier",79163776
"Gelasius II, Pope",79143546
"Scrope, Richard",49957160
Hugo Etherianus,224113012
"Lancaster, Henry, Duke of",12097963
"Caper, Flavius",14658898
"Savonarola, Girolamo",74117553
"Aegidius, Saint, Abbot",88962483
"Edgar, King of England",13393744
"Patrick, Saint",4934807
"Leo VII, Pope",61533603
"Dudo, Dean of St. Quentin",166879783
"Renniger, Michael",29879140
"Odo, Saint, Abbot of Cluny",59199545
"Erigena, Johannes Scotus",90633393
